bank_name,old_or_new,deposit,deposit_name,from_year,from_period,from_period_d_m_y,from_period_operator,to_year,to_period,to_period_d_m_y,to_period_operator,min_amount,max_amount,premature_y_n,general_roi,senior_roi
Post Office,OLD,SB,Post Office Savings Account,01-04-1981,,,GE,31-12-1998,,,LE,,,,5.5,5.75
Post Office,OLD,SB,Post Office Savings Account,01-01-1999,,,GE,28-02-2001,,,LE,,,,4.5,4.75
Post Office,OLD,SB,Post Office Savings Account,01-03-2001,,,GE,30-11-2011,,,LE,,,,3.5,3.75
Post Office,OLD,SB,Post Office Savings Account,01-12-2011,,,GE,30-09-2022,,,LE,,,,4.0,4.25
Post Office,OLD,SB,Post Office Savings Account,01-10-2022,,,GE,31-12-2022,,,LE,,,,4.0,4.25
Post Office,OLD,SB,Post Office Savings Account,01-01-2023,,,GE,31-03-2024,,,LE,,,,4.0,4.25
Post Office,OLD,RD,National Savings Recurring Deposit Account,01-04-1981,,,GE,31-03-1982,,,LE,,,,9.9,10.15
Post Office,OLD,RD,National Savings Recurring Deposit Account,01-04-1982,,,GE,28-02-1983,,,LE,,,,10.3,10.55
Post Office,OLD,RD,National Savings Recurring Deposit Account,01-03-1983,,,GE,31-03-1987,,,LE,,,,11.3,11.55
Post Office,OLD,RD,National Savings Recurring Deposit Account,01-04-1987,,,GE,31-03-1991,,,LE,,,,11.0,11.25
Post Office,OLD,RD,National Savings Recurring Deposit Account,01-04-1991,,,GE,30-09-1991,,,LE,,,,11.5,11.75
Post Office,OLD,RD,National Savings Recurring Deposit Account,01-10-1991,,,GE,01-09-1993,,,LE,,,,13.5,13.75
Post Office,OLD,RD,National Savings Recurring Deposit Account,02-09-1993,,,GE,31-12-1998,,,LE,,,,12.5,12.75
Post Office,OLD,RD,National Savings Recurring Deposit Account,01-01-1999,,,GE,31-12-1999,,,LE,,,,11.5,11.75
Post Office,OLD,RD,National Savings Recurring Deposit Account,01-01-2000,,,GE,14-01-2000,,,LE,,,,11.5,11.75
Post Office,OLD,RD,National Savings Recurring Deposit Account,15-01-2000,,,GE,31-01-2000,,,LE,,,,10.5,10.75
Post Office,OLD,RD,National Savings Recurring Deposit Account,01-02-2000,,,GE,28-02-2001,,,LE,,,,10.5,10.75
